agricultureStructureIndicator,asOfDate,baseFloodElevation,basementEnclosureCrawlspace,reportedCity,condominiumIndicator,policyCount,countyCode,communityRatingSystemDiscount,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,censusTract,floodZone,houseWorship,latitude,longitude,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,state,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,reportedZipcode,primaryResidence,id
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51109,NA,2014-04-30T04:00:00Z,1,NA,NA,51109950400,X,0,38,-78.1,2,NA,0,3,0,60,1,2011-01-01T05:00:00Z,2014-02-28T05:00:00Z,3126.81,NA,NA,1,7,0,VA,50000,20000,2014,23093,1,613f4869f2b55a0837e86439
0,2021-07-25T01:39:04Z,NA,0,Temporarily Unavailable,N,1,51003,NA,2018-05-30T04:00:00Z,0,NA,NA,51003011000,X,0,38,-78.5,4,NA,0,2,0,NA,1,1953-07-01T04:00:00Z,2017-05-15T04:00:00Z,15335.21,NA,NA,1,7,0,VA,100000,40000,2018,22903,1,613f486ff2b55a0837e8bbb2
0,2021-07-25T01:39:04Z,NA,0,Temporarily Unavailable,N,1,51003,NA,2018-07-31T04:00:00Z,0,NA,NA,51003011000,X,0,38,-78.5,4,NA,0,2,0,NA,1,1953-07-01T04:00:00Z,2017-05-15T04:00:00Z,12097.77,8158.53,NA,1,7,0,VA,100000,40000,2018,22903,1,613f486ff2b55a0837e8bbb9
0,2021-07-25T01:39:04Z,NA,2,Temporarily Unavailable,N,1,51540,NA,2010-01-25T05:00:00Z,0,NA,NA,51540000302,AE,0,38,-78.5,0,NA,0,2,0,NA,1,1964-08-27T04:00:00Z,2009-10-01T04:00:00Z,NA,NA,NA,0,1,0,VA,70000,0,2010,22902,0,613f4872f2b55a0837e8f08c
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51003,NA,2009-06-19T04:00:00Z,0,NA,NA,51003011400,X,0,37.8,-78.5,0,NA,0,2,0,NA,3,1990-07-01T04:00:00Z,1996-05-11T04:00:00Z,16762.63,NA,NA,1,1,0,VA,250000,0,2009,24590,0,613f4887f2b55a0837ea4291
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,1996-01-20T05:00:00Z,0,NA,NA,51003011400,B,0,37.8,-78.5,4,NA,0,2,0,10,1,1973-01-01T05:00:00Z,1993-07-11T04:00:00Z,14593.21,NA,NA,0,1,0,VA,48000,4600,1996,24590,0,613f4888f2b55a0837ea4a3d
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,1996-09-06T04:00:00Z,0,NA,NA,51003011400,B,0,37.8,-78.5,4,NA,0,2,0,10,1,1973-01-01T05:00:00Z,1993-07-11T04:00:00Z,22072.88,4600,NA,0,1,0,VA,48000,4600,1996,24590,0,613f4888f2b55a0837ea4a3e
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51125,NA,2006-10-08T04:00:00Z,0,1,NA,51125950200,C,0,37.9,-78.9,2,NA,0,2,0,NA,1,1990-01-01T05:00:00Z,2003-12-13T05:00:00Z,3642.06,NA,NA,1,7,0,VA,250000,100000,2006,22958,1,613f4889f2b55a0837ea5a23
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,1987-09-08T04:00:00Z,0,NA,NA,51003011400,A,0,37.8,-78.6,3,NA,0,1,0,10,1,1974-07-01T04:00:00Z,1986-03-15T05:00:00Z,3262,1063,NA,0,1,0,VA,46400,34400,1987,22937,0,613f489cf2b55a0837eb8986
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51109,NA,1992-04-22T04:00:00Z,0,NA,NA,NA,A,0,38.1,-78.2,4,NA,0,2,0,10,1,2000-07-01T04:00:00Z,1990-06-06T04:00:00Z,32913.04,437.5,NA,0,1,0,VA,126000,5000,1992,22942,0,613f489df2b55a0837eb9315
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51125,NA,1994-07-28T04:00:00Z,0,NA,NA,NA,A,0,37.8,-78.7,3,NA,0,1,0,10,4,1978-07-01T04:00:00Z,1991-12-20T05:00:00Z,1123.83,22313.64,NA,0,1,0,VA,200000,200000,1994,22969,0,613f48a1f2b55a0837ebf114
