agricultureStructureIndicator,asOfDate,baseFloodElevation,basementEnclosureCrawlspace,reportedCity,condominiumIndicator,policyCount,countyCode,communityRatingSystemDiscount,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,censusTract,floodZone,houseWorship,latitude,longitude,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,state,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,reportedZipcode,primaryResidence,id
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,1,NA,NA,NA,AE,0,37.9,-75.6,0,NA,0,2,0,10,1,1970-07-01T04:00:00Z,1991-06-21T04:00:00Z,5705.57,NA,NA,0,1,0,VA,50000,0,1999,23409,1,613f48bcf2b55a0837eda0f3
0,2021-07-25T01:39:04Z,8,NA,Temporarily Unavailable,N,1,51001,6,2012-10-29T04:00:00Z,0,NA,1,51001090300,AE,0,37.9,-75.6,0,NA,9,2,0,10,1,1993-09-01T04:00:00Z,1994-08-12T04:00:00Z,44425.04,NA,NA,1,1,0,VA,250000,0,2012,23308,1,613f48bdf2b55a0837edbb7d
0,2021-07-25T01:39:04Z,NA,2,Temporarily Unavailable,N,1,51001,6,1992-01-04T05:00:00Z,1,1,NA,51001090100,A09,0,37.9,-75.4,2,NA,0,2,0,60,1,1986-07-01T04:00:00Z,1988-09-14T04:00:00Z,4921.03,739.74,NA,1,1,0,VA,53200,11600,1992,23336,0,613f48bdf2b55a0837edbc6f
0,2021-07-25T01:39:04Z,NA,2,Temporarily Unavailable,N,1,51001,6,1998-02-10T05:00:00Z,1,1,NA,51001090100,A09,0,37.9,-75.4,2,NA,0,2,0,60,1,1986-07-01T04:00:00Z,1988-09-14T04:00:00Z,NA,NA,NA,1,1,0,VA,58500,12200,1998,23336,0,613f48bdf2b55a0837edbc70
0,2021-07-25T01:39:04Z,NA,2,Temporarily Unavailable,N,1,51001,6,2009-12-15T05:00:00Z,1,1,NA,51001090100,A09,0,37.9,-75.4,2,NA,0,2,0,60,1,1986-07-01T04:00:00Z,1988-09-14T04:00:00Z,2875.1,906,NA,1,8,0,VA,85700,14800,2009,23336,0,613f48bdf2b55a0837edbc72
0,2021-07-25T01:39:04Z,8,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,1,NA,0,51001090700,A06,0,37.6,-75.9,4,4.6,8.1,2,0,10,1,1988-01-01T05:00:00Z,1998-12-28T05:00:00Z,4003.56,NA,NA,1,1,0,VA,65000,32000,1999,23420,0,613f48bdf2b55a0837edbc83
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,1991-11-02T05:00:00Z,0,NA,-2,51001090500,VE,0,37.7,-75.7,4,NA,0,2,0,10,4,1992-03-30T05:00:00Z,1990-01-21T05:00:00Z,NA,NA,NA,1,1,0,VA,133500,10000,1991,23301,0,613f48bef2b55a0837edc607
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,0,NA,NA,51001090600,AE,0,37.7,-75.7,0,NA,0,1,0,10,1,2045-07-01T04:00:00Z,1999-03-14T05:00:00Z,NA,NA,NA,0,1,0,VA,70000,10000,1999,23417,1,613f48c1f2b55a0837ede96d
0,2021-07-25T01:39:04Z,7,NA,Temporarily Unavailable,N,1,51001,6,2006-09-01T04:00:00Z,1,3,3,51001090600,AE,0,37.8,-75.8,3,6.8,10.3,1,0,15,1,2002-01-01T05:00:00Z,2002-06-11T04:00:00Z,NA,NA,NA,1,1,0,VA,250000,46300,2006,23417,1,613f48c1f2b55a0837edf1b2
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,2012-10-29T04:00:00Z,1,NA,NA,51001090100,A10,0,37.9,-75.4,0,NA,0,2,0,10,1,1960-07-01T04:00:00Z,2004-05-13T04:00:00Z,NA,NA,NA,0,1,0,VA,234000,0,2012,23336,0,613f48c2f2b55a0837ee0801
